Title:,"Time Series, Area-Averaged of NO2 Tropospheric Column (30% Cloud Screened) daily 0.25 ()"
User Start Date:,2019-01-31T00:00:00Z
User End Date:,2019-05-24T23:59:59Z
User Bounding Box:,"8,44,12,46"
Data Bounding Box:,"8.125,44.125,11.875,45.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-31T00:00:00Z&endtime=2019-05-24T23:59:59Z&bbox=8,44,12,46&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened&variableFacets=dataProductObservation%3AObservation%3BdataFieldDiscipline%3AAtmospheric%20Chemistry%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened
2019-01-31,5.68800987e+15
2019-02-01,-1.267651e+30
2019-02-02,-1.267651e+30
2019-02-03,-1.267651e+30
2019-02-04,-1.267651e+30
2019-02-05,6.58737119e+15
2019-02-06,5.38601301e+15
2019-02-07,1.26207603e+16
2019-02-08,1.49986733e+16
2019-02-09,1.00481758e+16
2019-02-10,2.64900731e+14
2019-02-11,-1.267651e+30
2019-02-12,4.96618371e+15
2019-02-13,-1.267651e+30
2019-02-14,9.38941269e+15
2019-02-15,9.74571351e+15
2019-02-16,7.65217143e+15
2019-02-17,5.46942503e+15
2019-02-18,6.25208565e+15
2019-02-19,7.06577686e+15
2019-02-20,-1.267651e+30
2019-02-21,6.50775807e+15
2019-02-22,1.33715311e+15
2019-02-23,4.36386636e+15
2019-02-24,4.41931707e+15
2019-02-25,5.47804395e+15
2019-02-26,7.05243562e+15
2019-02-27,1.28792312e+15
2019-02-28,9.99529728e+15
2019-03-01,-1.267651e+30
2019-03-02,7.09502452e+15
2019-03-03,3.75544317e+15
2019-03-04,-1.267651e+30
2019-03-05,5.19104995e+15
2019-03-06,2.91434898e+15
2019-03-07,4.05081129e+15
2019-03-08,-1.267651e+30
2019-03-09,4.5555596e+15
2019-03-10,1.55535208e+15
2019-03-11,5.77977722e+15
2019-03-12,3.86986861e+15
2019-03-13,7.56508345e+15
2019-03-14,5.80411304e+15
2019-03-15,6.07199874e+15
2019-03-16,5.61498416e+15
2019-03-17,-1.267651e+30
2019-03-18,3.43185469e+15
2019-03-19,6.78417519e+15
2019-03-20,6.11500854e+15
2019-03-21,5.95712179e+15
2019-03-22,3.38077599e+15
2019-03-23,5.07261461e+15
2019-03-24,-1.267651e+30
2019-03-25,5.27788613e+15
2019-03-26,3.74418472e+15
2019-03-27,5.36425792e+15
2019-03-28,5.62198388e+15
2019-03-29,5.76536062e+15
2019-03-30,4.98157687e+15
2019-03-31,-1.267651e+30
2019-04-01,5.92270675e+15
2019-04-02,-1.267651e+30
2019-04-03,8.19269951e+15
2019-04-04,-1.42494264e+14
2019-04-05,7.25459571e+13
2019-04-06,3.26377598e+15
2019-04-07,-1.267651e+30
2019-04-08,3.46639831e+15
2019-04-09,-1.267651e+30
2019-04-10,4.95285589e+15
2019-04-11,3.51760967e+13
2019-04-12,2.44682408e+15
2019-04-13,1.76023383e+15
2019-04-14,-1.267651e+30
2019-04-15,5.82224156e+15
2019-04-16,3.33293838e+15
2019-04-17,5.342294e+15
2019-04-18,-1.267651e+30
2019-04-19,4.79772328e+15
2019-04-20,3.17586417e+15
2019-04-21,3.75179647e+15
2019-04-22,3.08372719e+15
2019-04-23,-1.267651e+30
2019-04-24,5.60386932e+15
2019-04-25,-1.267651e+30
2019-04-26,2.76092255e+15
2019-04-27,4.40126505e+14
2019-04-28,4.21993905e+15
2019-04-29,5.38274829e+15
2019-04-30,5.55061924e+15
2019-05-01,3.40617347e+15
2019-05-02,3.94827029e+15
2019-05-03,3.89178556e+15
2019-05-04,-1.267651e+30
2019-05-05,3.79728984e+15
2019-05-06,1.89263908e+15
2019-05-07,3.79366435e+15
2019-05-08,2.70618121e+14
2019-05-09,1.79263157e+15
2019-05-10,2.56874719e+15
2019-05-11,-1.267651e+30
2019-05-12,1.49309599e+15
2019-05-13,8.55689287e+14
2019-05-14,3.92767377e+15
2019-05-15,4.64701073e+15
2019-05-16,3.11735894e+15
2019-05-17,2.41848991e+15
2019-05-18,-1.267651e+30
2019-05-19,4.14726773e+14
2019-05-20,1.11324089e+15
2019-05-21,2.57571363e+15
2019-05-22,2.48465898e+15
2019-05-23,2.76515659e+15
2019-05-24,1.95837731e+15
